title,price,link,rating
Xiaomi Poco F6 Pro NFC 5G Dual SIM (12/512GB) Μαύρο,419.48,https://www.skroutz.gr/s/56479867/Xiaomi-Poco-F6-Pro-NFC-5G-Dual-SIM-12-512GB-Mayro.html,4.61538
Xiaomi Poco X7 Pro 5G Dual SIM (8/256GB) Πράσινο,360.0,https://www.skroutz.gr/s/58307739/Xiaomi-Poco-X7-Pro-5G-Dual-SIM-8-256GB-Prasino.html,4.63333
Xiaomi Poco F7 5G Dual SIM (12/512GB) Μαύρο,409.89,https://www.skroutz.gr/s/61359799/xiaomi-poco-f7-5g-dual-sim-12-512gb-mayro.html,4.58333
Xiaomi Poco C85 NFC Dual SIM (6/128GB) Πράσινο,104.98,https://www.skroutz.gr/s/63024653/xiaomi-poco-c85-nfc-dual-sim-6-128gb-prasino.html,4.71429
Xiaomi Poco X7 Pro NFC 5G Dual SIM (8/256GB) Μαύρο,319.39,https://www.skroutz.gr/s/58348392/Xiaomi-Poco-X7-Pro-NFC-5G-Dual-SIM-8-256GB-Mayro.html,4.76471
Xiaomi Poco X8 Pro 5G Dual SIM (8/256GB) Μαύρο,348.98,https://www.skroutz.gr/s/66090137/xiaomi-poco-x8-pro-5g-dual-sim-8-256gb-mayro.html,4.6
Xiaomi 15 5G (12/512GB) Μαύρο,678.9,https://www.skroutz.gr/s/59036501/Xiaomi-15-5G-12-512GB-Mayro.html,4.74074
Xiaomi Redmi Note 14 5G Dual SIM (6/128GB) Midnight Black,171.04,https://www.skroutz.gr/s/58587838/Xiaomi-Redmi-Note-14-5G-Dual-SIM-6-128GB-Midnight-Black.html,4.77778
Xiaomi Redmi 15 5G Dual SIM (4/128GB) Ripple Green,154.9,https://www.skroutz.gr/s/63265811/xiaomi-redmi-15-5g-dual-sim-4-128gb-ripple-green.html,
Xiaomi Poco M8 5G Dual SIM (8/256GB) Μαύρο,216.5,https://www.skroutz.gr/s/65005745/xiaomi-poco-m8-5g-dual-sim-8-256gb-mayro.html,4.75
Xiaomi 17 Ultra 5G Dual SIM (16/512GB) Black with Photography Kit,1399.08,https://www.skroutz.gr/s/66935694/xiaomi-17-ultra-5g-dual-sim-16-512gb-black-with-photography-kit.html,
Xiaomi Redmi 15 4G Dual SIM (6/128GB) Titan Gray,135.49,https://www.skroutz.gr/s/62357423/xiaomi-redmi-15-4g-dual-sim-6-128gb-titan-gray.html,4.2
Xiaomi Redmi 15 4G NFC Dual SIM (6/128GB) Sandy Purple,125.66,https://www.skroutz.gr/s/62358493/xiaomi-redmi-15-4g-nfc-dual-sim-6-128gb-sandy-purple.html,4.5
Xiaomi Poco C75 4G Dual SIM (6/128GB) Μαύρο,157.89,https://www.skroutz.gr/s/57377933/Xiaomi-Poco-C75-4G-Dual-SIM-6-128GB-Mayro.html,4.3
Xiaomi Redmi Note 15 NFC 5G Dual SIM (6/128GB) Black,220.98,https://www.skroutz.gr/s/65038006/xiaomi-redmi-note-15-nfc-5g-dual-sim-6-128gb-black.html,4.75
Xiaomi 15 Ultra 5G (16/512GB) Λευκό,1999.0,https://www.skroutz.gr/s/59037902/Xiaomi-15-Ultra-5G-16-512GB-Leyko.html,4.71429
